subscription_id,subscription_date,end_date,n_meals,n_people,n_orders,food_choice
47,2017-07-06 17:16:20.070250,2017-10-15 17:16:20.070250,2,4,14,vegan
48,2013-10-29 21:16:50.701210,2014-01-15 21:16:50.701210,2,3,2,meat
49,2018-05-02 02:05:23.113927,2018-07-19 02:05:23.113927,5,3,9,meat
50,2015-12-04 13:03:46.663906,2016-06-18 13:03:46.663906,5,4,24,fish
51,2020-01-20 16:09:09.419415,,5,2,10,veggie
52,2017-05-10 21:01:46.578203,2017-12-20 21:01:46.578203,2,4,11,climate
53,2024-04-07 14:39:42.886749,2024-08-27 14:39:42.886749,2,2,4,climate
54,2018-09-19 12:24:17.642018,2019-06-27 12:24:17.642018,4,2,13,meat
55,2014-07-11 07:40:47.607837,2014-11-10 07:40:47.607837,2,3,1,fish
56,2023-08-16 05:08:16.210223,2024-03-15 05:08:16.210223,2,3,13,climate
57,2018-01-09 01:58:12.340084,2018-09-16 01:58:12.340084,3,2,33,climate
58,2018-01-04 04:58:54.952630,,3,2,5,vegan
59,2022-02-23 22:28:50.721864,2022-06-29 22:28:50.721864,3,3,2,veggie
60,2017-04-25 04:10:32.102402,2017-11-22 04:10:32.102402,4,4,21,fish
61,2020-01-26 19:11:16.132127,2020-03-19 19:11:16.132127,4,2,7,vegan
62,2017-08-21 23:00:40.304944,2018-06-05 23:00:40.304944,3,3,16,veggie
63,2021-05-08 04:04:06.644672,2021-10-17 04:04:06.644672,3,3,10,fish
64,2021-04-14 09:21:39.456125,2021-08-30 09:21:39.456125,2,3,10,meat
65,2018-04-29 10:39:29.900440,2018-09-07 10:39:29.900440,3,4,5,climate
66,2014-11-05 06:50:46.757715,2015-07-04 06:50:46.757715,5,2,8,climate
67,2024-05-06 19:38:52.321951,2024-12-01 19:38:52.321951,2,3,5,fish
68,2024-03-31 02:28:15.422400,2024-07-27 02:28:15.422400,5,4,14,meat
69,2015-02-21 14:32:07.815876,2015-05-22 14:32:07.815876,4,4,3,climate
70,2019-02-04 03:02:32.010701,,5,4,3,vegan
71,2019-01-03 09:19:36.103157,2019-07-15 09:19:36.103157,2,3,26,climate
72,2017-04-30 07:14:21.726194,2018-04-17 07:14:21.726194,4,4,43,climate
73,2018-04-07 05:44:36.326122,2018-08-17 05:44:36.326122,3,2,4,meat
74,2022-07-09 12:28:56.546159,2022-09-30 12:28:56.546159,2,3,11,veggie
75,2020-01-31 08:20:23.483816,2020-07-09 08:20:23.483816,3,4,2,climate
76,2013-08-09 10:35:12.125704,2014-04-19 10:35:12.125704,2,3,3,vegan
77,2020-07-10 19:38:31.623166,2021-03-20 19:38:31.623166,5,3,25,veggie
78,2019-01-03 07:04:33.722296,2019-03-27 07:04:33.722296,5,2,9,climate
79,2021-08-17 17:55:22.187141,,4,3,1,meat
80,2013-08-15 05:19:47.116545,2013-12-30 05:19:47.116545,5,4,19,meat
81,2018-11-17 09:40:05.472946,,2,3,1,veggie
82,2023-07-03 22:50:06.823655,,2,4,4,veggie
83,2022-07-05 23:18:17.983715,2022-12-03 23:18:17.983715,5,2,10,climate
84,2020-01-31 16:55:34.002439,,4,3,7,fish
85,2015-02-24 15:23:23.016430,2015-05-27 15:23:23.016430,2,4,4,fish
86,2019-10-15 19:37:11.828879,2019-12-21 19:37:11.828879,4,2,3,climate
87,2021-08-17 06:22:07.400537,2022-02-01 06:22:07.400537,2,2,22,climate
88,2022-12-23 03:05:58.795668,,4,2,9,climate
89,2018-01-10 15:58:16.238418,2018-05-08 15:58:16.238418,2,4,8,veggie
90,2015-07-11 10:01:49.469571,,2,3,3,vegan
91,2024-05-11 23:08:57.049695,2025-01-26 23:08:57.049695,3,4,32,veggie
92,2024-11-24 12:49:08.645599,2025-03-22 12:49:08.645599,4,2,4,climate
93,2020-04-14 19:36:17.560274,,4,3,3,veggie
94,2015-02-24 01:22:25.504547,2015-09-25 01:22:25.504547,3,2,22,meat
95,2021-05-08 12:37:37.322570,2021-12-14 12:37:37.322570,2,4,3,meat
96,2021-01-01 01:57:11.207857,2021-06-15 01:57:11.207857,4,3,12,meat
97,2018-10-15 22:38:31.542580,2019-03-26 22:38:31.542580,4,3,19,fish
98,2020-01-27 15:33:53.489000,2020-06-25 15:33:53.489000,3,4,17,vegan
99,2014-12-12 08:49:53.773759,,5,2,4,meat
100,2015-07-12 23:12:20.950702,2015-12-26 23:12:20.950702,2,3,13,meat
101,2014-07-08 06:52:34.315992,2014-10-05 06:52:34.315992,5,2,9,veggie
102,2017-03-18 09:43:37.847950,2017-10-21 09:43:37.847950,4,4,12,meat
103,2023-12-30 22:58:26.096876,,4,4,8,veggie
104,2013-08-21 08:54:34.706415,,2,4,6,fish
105,2022-06-11 10:20:41.824270,2023-02-13 10:20:41.824270,3,2,31,vegan
106,2024-01-01 06:51:08.686286,2024-07-20 06:51:08.686286,4,3,11,fish
107,2014-03-21 18:24:06.957393,2014-08-14 18:24:06.957393,3,2,6,meat
108,2016-04-07 23:39:07.582067,,4,3,9,climate
109,2017-06-21 15:12:38.808454,2017-10-11 15:12:38.808454,4,4,13,veggie
110,2013-10-15 12:28:27.188447,2014-02-18 12:28:27.188447,4,2,17,vegan
111,2021-01-08 09:09:15.270218,2021-04-09 09:09:15.270218,5,4,10,meat
112,2015-09-02 02:34:33.373083,,2,3,6,meat
113,2022-04-20 08:18:42.016192,2022-10-25 08:18:42.016192,4,2,7,fish
114,2019-10-01 22:32:38.883198,2019-12-20 22:32:38.883198,3,3,6,vegan
115,2020-01-31 23:04:05.618683,,2,4,8,vegan
116,2020-01-25 19:50:02.688340,,5,4,10,meat
117,2014-05-01 23:34:01.064954,2014-11-13 23:34:01.064954,5,3,24,meat
118,2017-05-01 16:13:39.895105,2017-09-08 16:13:39.895105,2,4,12,vegan
119,2021-08-12 01:27:06.547050,2022-02-22 01:27:06.547050,4,2,18,veggie
120,2022-02-18 04:08:09.311208,2022-05-14 04:08:09.311208,4,3,10,fish
121,2022-02-21 20:47:55.788959,2022-09-20 20:47:55.788959,2,4,2,vegan
122,2022-06-03 19:07:00.044588,2022-10-10 19:07:00.044588,3,3,15,vegan
123,2019-05-11 21:48:12.730239,2019-07-14 21:48:12.730239,2,4,3,climate
124,2020-12-15 04:40:23.416554,2021-05-09 04:40:23.416554,4,2,18,climate
125,2013-01-02 18:48:47.019467,,2,3,5,vegan
126,2023-05-15 12:49:12.702924,2023-08-11 12:49:12.702924,3,3,10,climate
127,2020-01-21 22:09:03.604110,,3,4,7,meat
128,2019-10-15 13:48:21.447993,2020-08-10 13:48:21.447993,2,2,27,veggie
129,2013-07-09 08:11:51.476569,,2,3,5,climate
130,2019-10-25 02:02:38.832397,,2,3,2,vegan
131,2023-09-30 21:07:41.928465,2024-05-25 21:07:41.928465,3,4,21,veggie
132,2019-05-22 02:38:13.069692,2019-09-15 02:38:13.069692,2,4,8,vegan
133,2014-07-04 16:17:13.670923,2014-10-09 16:17:13.670923,3,4,12,climate
134,2014-05-08 16:19:40.452122,,3,3,1,climate
135,2019-02-05 00:41:39.318587,,2,2,10,climate
136,2019-10-03 22:56:53.182887,2020-02-22 22:56:53.182887,3,4,13,fish
137,2024-05-20 06:15:48.433796,,3,3,4,fish
138,2014-10-03 11:13:00.433884,2015-06-09 11:13:00.433884,2,2,9,climate
139,2014-05-07 08:51:24.747251,2014-09-25 08:51:24.747251,3,2,19,vegan
140,2021-07-15 08:29:45.563403,2021-11-15 08:29:45.563403,3,2,8,meat
141,2019-03-06 02:47:02.021332,2019-06-02 02:47:02.021332,3,2,8,meat
142,2024-12-15 13:57:27.497293,,2,3,3,veggie
143,2013-06-25 19:39:46.399241,2014-05-03 19:39:46.399241,3,4,6,meat
144,2019-10-17 12:35:44.489659,,4,3,7,fish
145,2021-08-17 15:23:51.164067,2021-12-28 15:23:51.164067,4,4,19,fish
146,2016-07-13 00:56:55.276612,2016-11-20 00:56:55.276612,5,3,17,fish
147,2023-12-17 05:29:36.322508,2024-06-21 05:29:36.322508,5,4,22,veggie
148,2023-05-02 11:59:27.450951,2023-06-28 11:59:27.450951,4,2,3,climate
149,2021-08-22 00:22:33.281955,2021-11-02 00:22:33.281955,2,2,4,climate
150,2013-09-13 20:47:07.565793,2014-01-08 20:47:07.565793,5,2,12,veggie
151,2021-05-02 01:11:29.855310,2022-02-16 01:11:29.855310,2,4,26,meat
152,2013-11-17 16:18:12.499338,2014-06-04 16:18:12.499338,4,4,22,fish
153,2019-05-26 14:32:19.508307,2019-08-02 14:32:19.508307,4,3,2,fish
154,2017-08-10 06:14:45.850640,2018-02-10 06:14:45.850640,4,4,2,meat
155,2014-11-27 01:51:04.330208,,2,2,9,fish
156,2022-07-09 20:32:42.916031,2023-03-09 20:32:42.916031,4,2,32,veggie
157,2024-01-06 22:12:13.048206,2024-06-09 22:12:13.048206,2,4,2,meat
158,2019-10-17 05:15:48.186292,2020-03-03 05:15:48.186292,3,4,2,vegan
159,2017-12-27 01:34:17.365503,2018-06-29 01:34:17.365503,2,4,6,vegan
160,2015-12-15 15:41:37.634274,2016-09-26 15:41:37.634274,3,2,14,fish
161,2013-02-02 23:19:37.644058,2013-07-22 23:19:37.644058,5,4,2,meat
162,2023-05-13 03:33:52.884436,2023-12-24 03:33:52.884436,4,3,32,fish
163,2015-11-04 05:57:15.197679,2016-02-17 05:57:15.197679,4,2,3,vegan
164,2023-09-16 10:10:54.599068,2024-05-21 10:10:54.599068,5,3,4,veggie
165,2021-01-10 08:24:19.048666,,3,4,10,vegan
166,2014-09-04 22:22:41.884542,,3,4,7,veggie
167,2024-12-12 11:21:04.563857,2025-09-17 11:21:04.563857,4,2,31,meat
168,2017-08-23 18:43:12.428975,2018-01-30 18:43:12.428975,4,4,20,vegan
169,2017-06-19 00:36:46.577724,2018-01-21 00:36:46.577724,3,2,15,meat
170,2024-05-10 13:17:28.544434,2024-11-13 13:17:28.544434,3,2,13,veggie
171,2020-01-14 18:40:00.801617,2020-07-18 18:40:00.801617,4,4,17,climate
172,2022-03-01 02:08:42.602055,2022-06-27 02:08:42.602055,2,4,16,vegan
173,2024-01-08 06:53:57.212096,2024-06-08 06:53:57.212096,5,4,12,climate
174,2024-11-22 17:19:19.474061,2025-04-30 17:19:19.474061,2,3,2,climate
175,2017-03-05 03:59:39.328206,2017-10-01 03:59:39.328206,4,4,2,fish
176,2014-06-27 05:34:32.401703,2015-03-18 05:34:32.401703,2,3,33,vegan
177,2013-03-21 20:50:15.547576,2013-06-11 20:50:15.547576,3,3,2,vegan
178,2017-06-04 18:45:08.173394,2017-08-02 18:45:08.173394,5,3,1,climate
179,2018-12-29 20:01:27.285928,2019-07-25 20:01:27.285928,5,4,9,climate
180,2019-10-19 04:05:09.738515,2020-02-18 04:05:09.738515,5,3,16,fish
181,2021-07-21 03:34:31.446302,,2,2,6,climate
182,2014-05-08 19:19:21.755687,,5,4,3,climate
183,2024-11-01 06:20:59.082757,2025-06-10 06:20:59.082757,4,4,4,vegan
184,2024-03-18 10:37:07.609559,2024-05-30 10:37:07.609559,4,2,4,vegan
185,2022-09-05 07:31:27.477886,2022-12-25 07:31:27.477886,4,4,13,veggie
186,2021-05-04 18:40:59.865906,2021-12-31 18:40:59.865906,5,4,6,meat
187,2017-04-25 13:06:04.909244,2017-07-26 13:06:04.909244,4,3,6,vegan
188,2016-04-18 21:37:49.653245,2016-08-28 21:37:49.653245,2,2,2,fish
189,2017-05-24 04:36:55.073960,2017-12-13 04:36:55.073960,4,4,26,meat
190,2021-05-02 11:25:34.303107,2021-09-21 11:25:34.303107,2,4,5,vegan
191,2014-08-15 13:29:18.142807,2015-02-06 13:29:18.142807,4,3,8,climate
192,2024-05-02 00:06:08.157843,,2,4,3,meat
193,2019-02-13 09:58:46.832593,2019-05-28 09:58:46.832593,4,3,2,climate
194,2013-09-11 02:08:32.995562,,3,4,3,fish
195,2017-12-27 11:16:27.140806,2018-09-11 11:16:27.140806,5,3,24,meat
196,2017-03-03 15:06:30.810660,2017-09-23 15:06:30.810660,3,4,28,climate
197,2013-10-17 11:42:31.336678,,4,3,8,meat
198,2023-06-25 14:51:57.076084,,5,3,6,veggie
199,2017-04-27 10:06:55.056057,2017-12-07 10:06:55.056057,5,2,29,meat
200,2023-04-25 06:06:32.531114,2023-12-21 06:06:32.531114,5,3,22,fish
201,2024-03-06 21:58:55.355296,2024-09-02 21:58:55.355296,4,4,14,fish
202,2017-02-26 08:21:19.765349,,4,3,7,fish
203,2015-01-06 13:21:15.587681,2015-03-26 13:21:15.587681,2,4,6,climate
204,2020-04-22 20:24:08.919551,2021-02-22 20:24:08.919551,4,4,12,climate
205,2023-01-05 17:19:14.436628,2023-04-26 17:19:14.436628,2,2,11,veggie
206,2017-03-21 06:40:29.934231,,3,4,8,fish
207,2013-06-20 08:35:25.000132,2013-09-19 08:35:25.000132,4,2,8,meat
208,2023-01-04 09:49:04.084961,2023-05-22 09:49:04.084961,3,3,1,veggie
209,2023-12-18 22:59:55.123217,,4,3,3,meat
210,2017-03-01 12:46:56.427600,,4,3,7,climate
211,2015-12-05 22:25:38.607646,2016-04-23 22:25:38.607646,4,4,15,meat
212,2014-01-17 20:40:06.242504,,2,4,7,climate
213,2021-07-08 02:06:05.448977,2022-02-24 02:06:05.448977,3,2,27,vegan
214,2024-02-27 16:13:44.229800,2024-06-17 16:13:44.229800,2,3,1,climate
215,2013-12-05 18:30:13.891509,2014-05-16 18:30:13.891509,5,2,22,meat
216,2024-01-08 06:27:51.137374,2024-03-07 06:27:51.137374,2,2,8,fish
217,2018-05-02 03:09:31.107514,2018-06-26 03:09:31.107514,5,4,3,meat
218,2014-07-18 01:59:38.548576,2014-11-15 01:59:38.548576,2,3,11,fish
219,2013-07-10 03:49:14.376298,2014-04-15 03:49:14.376298,3,2,11,meat
220,2015-02-23 09:46:36.050722,,4,2,5,meat
221,2015-08-24 06:19:50.070038,2015-10-31 06:19:50.070038,3,3,5,vegan
222,2022-09-15 18:01:40.241882,2023-03-10 18:01:40.241882,5,3,19,meat
223,2020-04-16 02:08:45.556535,2020-06-01 02:08:45.556535,2,4,5,veggie
224,2015-12-13 05:07:26.066288,2016-07-07 05:07:26.066288,2,4,25,meat
225,2015-12-11 02:11:38.439461,,4,4,2,climate
226,2019-03-11 03:35:14.722638,2019-04-14 03:35:14.722638,2,3,4,vegan
227,2022-06-16 18:13:07.072182,2022-10-10 18:13:07.072182,3,2,8,climate
228,2018-10-23 07:54:37.504965,2019-05-07 07:54:37.504965,5,4,5,meat
229,2014-05-04 12:25:09.076159,2014-10-15 12:25:09.076159,2,2,14,fish
230,2024-03-11 01:06:09.034419,2024-09-11 01:06:09.034419,3,3,3,vegan
231,2014-09-07 11:17:52.145903,2014-12-24 11:17:52.145903,2,3,6,climate
232,2023-07-27 20:48:49.338619,2023-09-22 20:48:49.338619,3,2,2,climate
233,2016-07-23 18:53:32.929729,2017-01-02 18:53:32.929729,3,3,8,fish
234,2020-04-13 13:39:34.190017,2020-09-17 13:39:34.190017,2,2,16,meat
235,2013-06-27 23:24:46.869123,2013-11-09 23:24:46.869123,3,4,10,vegan
236,2015-05-24 10:15:16.884336,2015-08-21 10:15:16.884336,4,3,11,vegan
237,2022-12-28 08:49:14.254595,,3,2,6,fish
238,2021-12-12 23:47:58.689796,,2,3,9,climate
239,2019-10-16 21:59:05.484045,2020-01-23 21:59:05.484045,3,3,12,climate
240,2013-11-12 14:52:55.216015,,3,4,1,vegan
241,2021-12-20 23:21:38.220879,2022-02-22 23:21:38.220879,5,2,6,vegan
242,2024-01-04 14:48:32.948292,2024-04-27 14:48:32.948292,5,2,14,climate
243,2014-08-05 16:52:49.866072,2014-11-29 16:52:49.866072,2,4,5,meat
244,2014-07-23 23:13:42.938243,,5,2,4,vegan
245,2014-07-19 06:03:43.228773,2014-10-05 06:03:43.228773,5,3,9,meat
246,2020-01-12 10:27:59.551919,2020-04-02 10:27:59.551919,5,2,3,meat
247,2015-06-06 22:24:40.892125,2015-09-04 22:24:40.892125,3,2,3,climate
248,2022-12-24 20:31:02.594686,2023-05-05 20:31:02.594686,2,2,13,meat
249,2018-04-22 23:36:22.241957,,4,2,9,vegan
250,2015-08-04 23:49:52.571852,2016-01-28 23:49:52.571852,3,2,16,meat
251,2014-11-06 05:52:09.703371,2014-12-31 05:52:09.703371,4,2,7,fish
252,2020-07-08 16:28:03.179763,2020-08-31 16:28:03.179763,4,4,3,meat
253,2018-04-28 17:05:45.451765,2018-12-10 17:05:45.451765,3,4,5,veggie
254,2013-02-06 00:35:52.179485,,4,2,1,climate
255,2013-09-19 14:03:24.074206,2014-04-19 14:03:24.074206,3,3,7,climate
256,2016-04-11 04:41:08.079180,2016-07-24 04:41:08.079180,4,4,5,fish
257,2018-04-22 03:07:48.261728,2018-10-15 03:07:48.261728,3,2,2,veggie
258,2014-07-08 09:56:52.868515,2014-08-31 09:56:52.868515,5,3,5,veggie
259,2019-10-26 20:05:53.666535,2020-06-28 20:05:53.666535,4,2,20,vegan
260,2024-01-03 00:59:28.807413,2024-06-01 00:59:28.807413,4,3,8,meat
261,2014-01-27 09:31:29.656807,2014-06-16 09:31:29.656807,3,2,2,climate
262,2018-12-10 23:54:02.525652,2019-09-12 23:54:02.525652,4,3,22,vegan
263,2023-05-11 19:05:41.229089,2024-03-15 19:05:41.229089,5,4,39,vegan
264,2019-10-01 06:21:27.922511,,5,2,4,meat
265,2013-12-02 05:38:45.309020,,4,4,2,climate
266,2022-06-28 14:24:19.457980,,5,4,4,climate
267,2024-05-09 20:33:42.455219,2024-11-14 20:33:42.455219,3,3,22,vegan
268,2016-04-16 18:48:37.691313,2016-06-05 18:48:37.691313,3,2,4,vegan
269,2015-08-26 01:45:46.934276,2016-03-08 01:45:46.934276,5,3,13,meat
270,2021-12-26 02:59:16.087367,2022-03-31 02:59:16.087367,3,4,13,meat
271,2018-01-01 16:33:06.772523,2018-08-16 16:33:06.772523,5,2,22,veggie
272,2024-01-02 18:36:39.378381,,5,2,6,climate
273,2020-06-19 03:20:31.534502,2020-11-10 03:20:31.534502,5,2,12,meat
274,2017-02-18 09:49:54.879084,2017-06-11 09:49:54.879084,5,2,7,meat
275,2016-04-20 12:12:39.105168,2016-08-23 12:12:39.105168,2,3,3,veggie
276,2018-04-28 14:08:26.877720,2018-11-30 14:08:26.877720,4,4,20,fish
277,2017-05-10 02:50:04.734162,2017-12-17 02:50:04.734162,4,2,2,fish
278,2019-10-08 14:56:51.943417,2020-01-15 14:56:51.943417,3,4,7,vegan
279,2022-02-19 15:24:27.843280,2022-12-08 15:24:27.843280,2,2,27,vegan
280,2018-01-04 10:54:41.218577,2018-05-15 10:54:41.218577,2,4,1,climate
281,2014-05-06 16:01:27.087159,2014-10-19 16:01:27.087159,5,3,21,meat
282,2024-02-29 09:34:30.736044,2024-06-19 09:34:30.736044,5,4,7,veggie
283,2017-04-20 07:46:03.407718,2017-12-05 07:46:03.407718,3,2,25,climate
284,2023-07-28 19:31:15.032658,,5,4,3,veggie
285,2013-07-23 21:33:59.929837,2013-10-13 21:33:59.929837,4,3,6,vegan
286,2014-05-05 04:59:48.852841,2015-01-17 04:59:48.852841,4,4,11,meat
287,2018-01-07 12:45:00.046301,2018-03-28 12:45:00.046301,4,3,11,meat
288,2013-03-31 20:50:30.157882,2014-02-16 20:50:30.157882,5,3,24,veggie
289,2024-07-23 11:34:10.496245,2024-12-10 11:34:10.496245,3,4,20,meat
290,2021-04-29 11:32:24.563214,2021-07-31 11:32:24.563214,5,4,4,fish
291,2015-02-26 00:06:17.407960,2015-12-25 00:06:17.407960,2,3,12,veggie
292,2023-08-21 07:19:18.708448,2023-11-24 07:19:18.708448,4,3,5,veggie
293,2020-01-23 06:59:53.845029,2020-05-18 06:59:53.845029,2,3,6,vegan
294,2013-10-11 20:33:37.235144,2014-02-07 20:33:37.235144,4,3,4,fish
295,2021-05-03 00:24:31.061814,2021-07-31 00:24:31.061814,4,2,11,fish
296,2019-10-19 20:59:35.450094,,4,3,7,meat
297,2024-04-28 00:28:28.541832,2024-06-05 00:28:28.541832,5,2,2,climate
298,2018-10-15 15:39:14.079178,2019-02-07 15:39:14.079178,5,4,11,climate
299,2013-06-16 14:14:21.604406,2013-11-28 14:14:21.604406,5,2,14,meat
300,2019-09-26 10:58:55.750862,2020-07-13 10:58:55.750862,3,2,4,meat
301,2014-07-24 19:17:10.254389,,3,2,6,meat
302,2013-07-18 09:17:52.093605,2014-04-14 09:17:52.093605,5,4,4,veggie
303,2023-12-16 10:43:34.222292,2024-03-29 10:43:34.222292,3,3,8,meat
304,2020-06-20 08:55:30.185373,2020-08-31 08:55:30.185373,2,4,6,fish
305,2023-09-26 11:11:18.596910,2024-01-05 11:11:18.596910,2,4,3,climate
306,2015-08-25 03:55:56.287130,2016-02-14 03:55:56.287130,2,2,11,veggie
307,2018-03-29 18:47:58.154515,2018-08-24 18:47:58.154515,2,3,8,veggie
308,2022-04-17 11:41:05.709896,2022-05-29 11:41:05.709896,5,3,3,meat
309,2013-12-24 11:36:15.171040,,5,4,5,fish
310,2024-05-18 14:46:00.287049,2025-02-26 14:46:00.287049,3,4,27,vegan
311,2022-12-27 17:45:09.579943,2023-03-21 17:45:09.579943,5,4,1,veggie
312,2021-05-06 17:39:09.511334,2022-02-27 17:39:09.511334,2,2,3,vegan
313,2024-01-05 20:42:54.626173,2024-07-19 20:42:54.626173,5,2,28,climate
314,2022-02-21 09:19:03.988942,2022-07-31 09:19:03.988942,4,4,1,fish
315,2019-09-11 04:05:09.970667,,4,4,9,fish
316,2024-07-23 03:05:04.292068,2025-03-14 03:05:04.292068,5,2,27,climate
317,2013-12-20 15:12:40.810284,2014-04-26 15:12:40.810284,2,2,7,vegan
318,2014-02-25 17:21:51.766914,2014-09-22 17:21:51.766914,4,2,8,meat
319,2018-04-26 23:35:23.719599,2018-09-09 23:35:23.719599,2,2,9,meat
320,2020-03-31 11:23:29.214655,2020-06-17 11:23:29.214655,3,3,11,climate
321,2024-12-06 01:16:13.061188,2025-02-10 01:16:13.061188,3,3,8,veggie
322,2020-01-26 23:07:01.674084,2020-06-23 23:07:01.674084,4,4,17,meat
323,2013-03-28 09:27:53.858866,,4,3,10,vegan
324,2013-11-12 00:32:38.933730,2014-02-26 00:32:38.933730,4,2,2,vegan
325,2013-10-12 08:25:02.035013,2014-05-31 08:25:02.035013,2,2,6,veggie
326,2013-08-24 03:27:09.405012,,5,2,3,vegan
327,2013-07-06 21:41:13.130102,,3,2,8,climate
328,2020-01-28 15:35:52.027586,2020-09-03 15:35:52.027586,4,3,10,fish
329,2018-05-02 02:24:56.525893,2018-08-03 02:24:56.525893,3,4,13,fish
330,2024-05-02 01:26:04.949966,2024-08-18 01:26:04.949966,5,2,13,meat
331,2022-02-24 22:59:53.571270,2022-05-23 22:59:53.571270,4,2,6,climate
332,2016-04-11 23:01:16.200873,2016-10-18 23:01:16.200873,4,4,14,vegan
333,2014-07-30 03:28:49.409065,2015-03-12 03:28:49.409065,5,2,23,vegan
334,2020-04-27 10:18:09.187025,2020-11-01 10:18:09.187025,3,2,14,vegan
335,2015-06-11 23:33:28.814730,2016-04-28 23:33:28.814730,3,4,17,climate
336,2014-06-18 11:30:55.451020,2014-09-22 11:30:55.451020,5,3,11,veggie
337,2014-08-18 06:28:56.088878,2015-01-07 06:28:56.088878,2,4,20,meat
338,2021-08-09 14:20:50.637030,2022-02-11 14:20:50.637030,2,2,17,meat
339,2022-03-01 11:49:28.155017,2022-07-19 11:49:28.155017,2,4,8,vegan
340,2014-07-30 10:25:42.466826,2015-01-04 10:25:42.466826,3,4,12,veggie
341,2019-10-16 02:08:08.509992,2020-01-14 02:08:08.509992,3,2,9,climate
342,2022-05-31 06:26:11.486608,2022-09-09 06:26:11.486608,3,2,1,climate
343,2022-04-04 11:11:35.969699,2022-11-24 11:11:35.969699,3,4,10,vegan
344,2020-07-04 18:06:56.178530,2020-11-17 18:06:56.178530,5,3,15,meat
345,2015-07-13 09:22:01.704315,2015-10-18 09:22:01.704315,3,2,6,fish
